OOC,TON,AIM,statute,OOC_new
cercla liability,toxic waste disposal,assign cleanup liability,"cercla, cwa",waste & pollution
cercla liability,toxic waste disposal,recover costs,cercla,waste & pollution
cercla liability,toxic waste disposal,detemine liability,cercla,waste & pollution
cercla liability,toxic waste disposal,recover cleanup costs,cercla,waste & pollution
cercla liability,toxic waste disposal,recover fees,"cercla, sdwa, cercla, aea, cwa, caa, tsca",waste & pollution
cercla liability,toxic waste disposal,determine cercla liability,cercla,waste & pollution
cercla liability,toxic waste disposal%groundwater%forest,recover cleanup costs,"rcra, cercla",waste & pollution
cercla liability,toxic waste disposal,shift remediation costs,"cercla, caa, cwa, tsca",waste & pollution
cercla liability,toxic waste disposal,recover damages,cercla,waste & pollution
cercla liability,toxic waste disposal,determine liability,cercla,waste & pollution
cercla liability,toxic waste disposal%soil%groundwater,determine liability,cercla,waste & pollution
cercla obligations,hazardous substance,impose deadline,"cercla, caa",waste & pollution
cercla responsibility,toxic waste disposal%land,recover clean up costs,cercla,waste & pollution
cercla site,toxic waste disposal,leave to amend complaint%recover cleanup costs,cercla,waste & pollution
cercla site%waste spill,toxic waste disposal,recover cleanup costs,"cercla, rcra",waste & pollution
cercla validity,groundwater basin,recovery of costs for groundwater contamination,cercla,waste & pollution
cercla violation,toxic waste disposal%groundwater,recover cleanup costs,"cercla, sdwa",waste & pollution
cercla violation,toxic waste disposal,recover cleanup costs,cercla,waste & pollution
cercla violation,other-environmental,request information,cercla,waste & pollution
cercla violation,toxic waste disposal%soil,recover fees,cercla,waste & pollution
cercla violation,toxic waste disposal,recover cleanup costs,"cercla, rcra, sdwa",waste & pollution
cercla violation,toxic waste disposal%soil%groundwater,recover cleanup costs%prove liabilty,"cercla, rcra",waste & pollution
cercla violation,toxic waste disposal,conduct investigation of landfill,cercla,waste & pollution
cercla violation,toxic waste disposal,sale of batteries,cercla,waste & pollution
cercla violation%retroactive status,toxic waste disposal,recover cleanup costs,cercla,waste & pollution
cercla violation%sdwa violation,groundwater%toxic waste disposal,recover cleanup costs,"cercla, cercla, sdwa",waste & pollution
cercla violation%superfund site,groundwater%drinking water%toxic waste disposal,recover cleanup costs,cercla,waste & pollution
cerlca authority,nuclear,challenge regulation,cercla,waste & pollution
cfcs in cosmetic (hair) products,atmosphere%ozone,stop regulation,tsca,waste & pollution
challenge the constitutionality of cercla,other-environmental,challenge regulation,"cercla, caa, cercla, cwa",waste & pollution
change in law causing defendant liability,soil contamination%groundwater contamination,continue regulation,"cercla, rcra",waste & pollution
chemcial pollutants,clean water%toxic waste disposal,stop dumping,"cwa, rcra",waste & pollution
chemcial pollutants,groundwater%toxic waste/pollution,stop contamination,cercla,waste & pollution
chemical cleaning products dicharged into the metropolitan water reclamation district of greater chicago,water%chemical waste/pollution,seek recover for environmental damages,cwa,waste & pollution
chemical cloud from chemical company,clean air,recover costs,cercla,waste & pollution
chemical contaminants,soil%groundwater,stop pollution,"rcra, cercla",waste & pollution
chemical contamination,water pollution%groundwater,recover costs,cercla,waste & pollution
chemical contamination,landfill,recover costs,"cercla, cwa",waste & pollution
chemical contamination,groundwater%soil,stop contamination,rcra,waste & pollution
chemical contamination found in groundwater,groundwater%toxic waste disposal,stop water pollution,"cercla, cwa, rivers and harbors act, caa, nca, cwa, sdwa, tsca",waste & pollution
chemical contamination from cite,toxic waste disposal%river%groundwater,stop water pollution,"cwa, cwa, rcra",waste & pollution
chemical contamination in water supply,toxic waste disposal%river,stop pollution/contamination,none,waste & pollution
chemical exposure leading to illness,nuclear exposure,seek damages,aea,waste & pollution
chemical management,toxic waste,damage relief,rcra,waste & pollution
chemical manufacturing plant%npdes violations,water pollution%river,seeking civil penalties,"cwa, cwa",waste & pollution
chemical pollutants,air,seek damages,caa,waste & pollution
chemical spill,soil,seek damages,cwa,waste & pollution
chemical spill in west virginia,toxic waste%land%water,recover damages due to chemical spill,cercla,waste & pollution
chemical waste found on site,toxic waste disposal,recover cleanup costs,"cercla, cwa",waste & pollution
chemical/pesticide regulation,other-environmental,stop chemical regulation,fifra,waste & pollution
chemicals found in waterways,rivers%fauna%flora%toxic waste disposal,protect waterways,"cwa, esa",waste & pollution
chemicals found on purchased site,toxic waste disposal%groundwater,recover cleanup costs,"rcra, cercla",waste & pollution
chicken egg regulations,ag-fauna,stop regulation,fdca,waste & pollution
chlorinated solvents and other contaminants found on property,toxic waste disposal,recover cleanup costs,cercla,waste & pollution
chlorine tablets,other-environmental,seek damages,fifra,waste & pollution
chloroprene,clean air,stop emissions,caa,waste & pollution
chromium,toxic waste%water,establish liability,"cercla, sdwa, rcra",waste & pollution
chromium contamination,clean water,stop drinking water contamination,"rcra, sdwa, cwa, mprsa, aea",waste & pollution
chromium contamination,toxic waste%land,force clean up of environmental contamination,"rcra, cercla, cwa",waste & pollution
chronic beryllium disease,nuclear,recover damages,aea,waste & pollution
city list of waste contractors,landfill,lising on city contractor list,"cercla, cercla",waste & pollution
civil penalties,wetlands,enforce violation,"cwa, rivers and harbors act, cercla, cwa",waste & pollution
class certification,asbestos,recover asbestos remedial action costs,tsca,waste & pollution
"classification of an ""operator"" under cercla",toxic waste disposal,"reclassification as an ""operator"" under cercla",cercla,waste & pollution
clean air act,air,establish standard,caa,waste & pollution
clean air act,air,compel rulemaking,caa,waste & pollution
clean air act regulation,air,vacate settlement,caa,waste & pollution
clean up costs,nuclear waste,seek damages,nwpa,waste & pollution
clean up costs,other-environmental,seek damages,cercla,waste & pollution
clean up costs,hazardous waste,challenge defense's claim,"cercla, cercla",waste & pollution
clean up costs,hazardous waste,seek damages,cercla,waste & pollution
clean up costs,river,seek damages,cwa,waste & pollution
clean up costs,groundwater%hazardous waste%air%soil,seek damages,rcra,waste & pollution
clean up costs,hazardous waste,establish liability,cercla,waste & pollution
clean up costs,hazardous substance%property,recover costs,"cercla, cwa",waste & pollution
clean up costs,toxic substances,seek damages,cercla,waste & pollution
clean up costs,hazardous waste,recover costs,cercla,waste & pollution
clean up costs,hazardous waste,seek damages,"cercla, cwa, rcra",waste & pollution
clean up costs,open space,recover environmental clean-up costs,"cercla, rcra",waste & pollution
clean up costs,waste,recover costs,cercla,waste & pollution
clean up costs,toxic waste,recover compensation for clean up costs,cercla,waste & pollution
clean up costs for landfill operations,toxic waste disposal,recover cleanup costs,cercla,waste & pollution
clean up funds,toxic substance,recover costs,cercla,waste & pollution
clean up of a hazardous site,waste%land,recover costs,cercla,waste & pollution
clean up of columbia nitrogen superfund site,wate%water%land,recover response costs,cercla,waste & pollution
clean up of former mining site,toxic waste disposal,recover cleanup costs,"cercla, cwa, rcra",waste & pollution
clean up of hazardous waste,toxic waste desposal,overturn regulation,cercla,waste & pollution
clean up of hazardous waste,water%toxic waste,enforce coverage of environmental damage,cercla,waste & pollution
clean up of site where hazardous waste is lcoated,toxic waste disposal,recover cleanup costs,"cercla, caa, cwa, sdwa, tsca",waste & pollution
clean up of the lower fox river,river%toxic waste disposal,clean up chemcial contamination of the environment,cercla,waste & pollution
clean up of toxic substances,toxic waste/pollution%groundwater,recover costs of damages,cercla,waste & pollution
clean up of wood preserving operation,forest,seek funds,cercla,waste & pollution
clean up plan,hazardous waste,challenge departmental action,cercla,waste & pollution
clean up responsibility,toxic waste disposal,recover clean up costs,"cercla, rcra",waste & pollution
clean-up activity,open space,dismiss jurisdiction,"rcra, cercla",waste & pollution
clean-up costs,water%pollution,stop construction,"rcra, cwa, cercla",waste & pollution
clean-up costs at the gary developmental landfill,toxic waste%land,stop breach of duty,"rcra, cercla",waste & pollution
clean-up fees,toxic waste disposal,pollution damages,"cercla, rcra",waste & pollution
clean-up of contaiminated sites,waste%land,recover clean up costs,cercla,waste & pollution
clean-up of site and costs of investigation,toxic waste%land,recover clean up costs,cercla,waste & pollution
clean-up of the  west kl avenue landfill in kalamazoo* michigan,waste%land,establish liability,cercla,waste & pollution
cleaning of a battery disposal site,toxic waste disposal,recover cleanup costs,cercla,waste & pollution
cleaning products,clean air,recover damages,fifra,waste & pollution
cleaning up hazardous waste,water,grant the motion to strike,cercla,waste & pollution
cleanup and removal costs,toxic waste disposal,recover costs,"opa, cwa, cercla",waste & pollution
cleanup and removal duties,toxic waste disposal,recover costs,cercla,waste & pollution
cleanup cost liability,toxic waste disposal,clean up dumping,cercla,waste & pollution
cleanup costs,toxic waste disposal,cleanup liability,"cercla, sdwa, rcra",waste & pollution
cleanup costs,toxic waste disposal,cleanup liability,cercla,waste & pollution
cleanup costs,hazardous substances%contaminated soil,recover costs,cercla,waste & pollution
cleanup costs,chemical contamination,recover costs,cercla,waste & pollution
